digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
29;67;92;114;6137;7217;7702;6898;661211;788170;784685;794657;64;87;76;81;6853;7125;8340;7300;694413;782641;777814;780695;70;93;72;82;6563;6712;7840;8144;647495;821308;848226;759003;39;87;41;43;6747;7347;7933;6972;673399;817668;796331;822998;120;101;90;79;7218;8179;6979;7773;697116;842727;836383;844575;77;62;69;85;7781;8157;8295;7552;654868;830004;793076;801942;86;89;96;129;5958;7293;10803;7858;697259;807292;764114;765179;36;64;69;82;5753;8063;8635;7356;635963;788488;780450;781383;
279;819;1134;1210;112189;114880;122670;120745;12157600;12356785;12345975;12347622;595;760;925;235;107730;121590;121347;114739;12276055;12294297;12467119;12426247;994;235;790;1147;106984;94369;112347;123804;12212865;12468339;12409929;12307464;847;1134;630;522;115020;123097;121429;108819;11977810;12366684;12464860;12357315;994;1170;484;630;118645;123372;106795;102595;12228489;12400480;12378672;12451747;760;322;949;1159;117490;121510;116875;118195;12043872;12475345;12356785;12415690;1054;1120;1147;1210;107545;123889;121747;122122;12136675;12475972;12426247;12438160;729;1120;1134;1089;118864;119899;121009;111220;12107214;12482100;12450222;12452650;
144;235;322;322;13122;15472;15939;19639;1351219;1299222;1280284;1341774;279;364;235;279;15939;12649;17334;16870;1237615;1261330;1360660;1299222;235;364;235;190;14535;16405;16870;15472;1199619;1360660;1492414;1185354;190;322;190;235;15939;15939;13122;16405;1360660;1407805;1327599;1322872;279;322;279;279;12649;14535;15004;16405;1379530;1351219;1459549;1365379;235;279;235;322;17334;15472;14535;14535;1313415;1407805;1388959;1426635;322;235;322;235;11700;14535;21010;15004;1346497;1388959;1256589;1398384;190;322;322;322;14065;17334;15939;14065;1294489;1351219;1341774;1303954;
490;539;931;1127;109281;117265;109281;102794;11102779;11172765;11412717;12087582;980;735;833;686;99800;105788;104291;91317;11247750;11892621;11882623;11557688;735;882;686;931;99301;105788;86826;115768;10932813;11897620;11667666;11992601;588;931;588;637;100299;120758;117764;117764;10967806;11327734;12207558;12322535;1078;980;735;735;99800;112275;116766;109780;11132773;11547690;12342531;12157568;931;637;686;980;99301;108782;114770;97804;11107778;12092581;12127574;12237552;784;882;980;1127;85828;114770;113273;118263;11077784;11982603;11557688;11732653;490;931;931;882;97804;115269;109780;110279;11107778;12062587;11732653;11867626;
457;457;457;457;8871;8871;9370;8871;128385;148381;148381;148381;457;457;457;457;8871;9370;9370;8871;138383;143382;148381;153380;457;457;457;457;8871;9370;9869;9370;128385;148381;148381;148381;457;457;457;457;8871;8871;9370;9370;128385;153380;148381;148381;457;457;457;457;8871;8871;8871;8871;128385;148381;148381;143382;408;457;457;457;8871;9370;8871;9370;133384;153380;153380;148381;457;457;457;457;8871;9370;8871;9869;128385;143382;148381;143382;457;457;457;457;8871;8871;9370;9370;133384;163378;158379;148381;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;2022;-;-;1000;2561;-;-;10000;10156;-;-;100;2038;-;-;1000;2542;-;-;10000;10153;-;-;100;2007;-;-;1000;2543;-;-;10000;10159;-;-;100;1986;-;-;1000;2524;-;-;10000;10145;-;-;100;2000;-;-;1000;2557;-;-;10000;10168;-;-;100;2032;-;-;1000;2554;-;-;10000;10150;-;-;100;2045;-;-;1000;2550;-;-;10000;10169;-;-;100;1985;-;-;1000;2547;-;-;10000;10151;-;-;
204;218;216;228;3549;4014;4120;4147;56460;72784;72307;70741;204;217;226;213;3563;4150;4189;4082;56193;72062;72001;72613;204;211;217;230;3561;4053;4157;4116;56238;71608;71692;71471;209;213;208;207;3555;4201;4217;3980;56546;72603;73214;73580;209;221;223;214;3586;4104;4041;4068;56535;74411;71626;71555;214;214;212;226;3582;4109;4230;4131;56211;74502;72312;72302;210;212;218;230;3604;4059;4098;4263;56223;72042;73102;76336;206;228;219;228;3593;4269;4211;4049;56139;73127;70952;76289;
256;241;228;202;14482;3746;3903;4183;1277128;83870;94552;92057;287;217;220;212;14061;3831;3727;4030;1306348;94186;94437;81585;276;215;211;218;13860;3803;3921;3905;1274257;79033;83151;83489;241;204;210;207;13811;3979;3805;3705;1263195;91651;89221;85179;263;205;211;211;14092;3787;3796;3768;1264014;91574;85448;81675;265;215;206;208;14836;3855;3797;3788;1261894;77907;81244;82193;261;218;229;206;14284;3736;3878;3862;1294384;84481;77495;79359;253;207;206;204;13862;3783;3949;3857;1268559;85048;80532;85417;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
270;292;287;291;3862;4529;4558;4572;51265;59502;60910;58549;266;284;289;286;3847;4567;4384;4562;51558;59635;59662;61917;271;276;289;289;3854;4294;4588;4562;52087;58380;58284;61217;265;290;294;294;3901;4573;4583;4410;51901;59540;60825;60170;263;292;285;284;3816;4491;4529;4445;51355;59995;58094;60941;256;289;290;292;3834;4539;4505;4544;51483;58378;58136;58172;274;294;291;288;4000;4497;4415;4560;51609;58296;58862;58215;268;287;292;289;3944;4411;4523;4558;51555;59292;59951;59251;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
82;97;-;-;2265;811;-;-;267247;29756;-;-;77;98;-;-;3615;798;-;-;281919;32360;-;-;79;97;-;-;2691;806;-;-;251594;31626;-;-;74;97;-;-;3095;814;-;-;276540;32341;-;-;63;97;-;-;3094;831;-;-;270107;31593;-;-;71;100;-;-;2927;816;-;-;259934;31489;-;-;87;97;-;-;2871;819;-;-;279091;31942;-;-;69;97;-;-;3310;846;-;-;248544;31224;-;-;
319;341;287;291;4361;5028;4558;4572;56264;64501;60910;58549;315;333;289;286;4346;5066;4384;4562;56557;64634;59662;61917;320;325;289;289;4353;4793;4588;4562;57086;63424;58284;61217;314;339;294;294;4400;5072;4583;4410;56900;64539;60825;60170;312;341;285;284;4315;5027;4529;4445;56354;64994;58094;60941;305;338;290;292;4333;5038;4505;4544;56482;63522;58136;58172;323;343;291;288;4499;4996;4415;4560;56608;63313;58862;58215;317;336;292;289;4443;4910;4529;4558;56554;64291;59951;59251;
152;196;177;170;4848;4904;5055;4968;85454;86269;86236;85999;158;180;191;162;4919;4809;4992;4922;85862;86236;86167;86373;173;194;162;177;4965;4924;4932;4937;85544;86129;86029;86138;159;171;161;160;4927;4980;4931;4902;85885;86195;86254;86222;180;175;173;180;4896;4877;4935;5027;85731;86034;86213;86416;163;184;171;181;4941;4945;4913;4909;85334;86018;85707;86329;171;186;182;186;4834;5022;4974;5036;85777;86214;86418;86000;153;180;167;204;4955;4908;4989;4964;85384;86091;85903;86636;
